Date,MOSC phi potential 
2007.001,487.745301845825
2007.086,493.26493568978
2007.163,489.832258795479
2007.248,470.12959413641
2007.330,467.335511819012
2007.415,457.892366559365
2007.497,457.488866665639
2007.582,469.263749989161
2007.667,446.615411173444
2007.749,459.500411160159
2007.834,466.350343509454
2007.916,470.293312909996
2008.001,468.735370243062
2008.086,467.603668243587
2008.165,458.95437843415
2008.250,480.156610153556
2008.332,462.894192154036
2008.416,456.710997915749
2008.498,458.127118805561
2008.583,446.871961175622
2008.668,431.783257525759
2008.750,442.639516397181
2008.834,441.27989864726
2008.916,450.7748180321
2009.001,443.275447612737
2009.086,442.294681126527
2009.163,442.703068198403
2009.248,441.488099680269
2009.330,401.517617213525
2009.415,410.400071870386
2009.497,407.176914759832
2009.582,406.578793856061
2009.667,399.82724826944
2009.749,417.297154384721
2009.834,439.347475937763
2009.916,424.249180407644
2010.001,433.423943512722
2010.086,461.558378616451
2010.163,479.038105445535
2010.248,504.341314997442
2010.330,464.823927735887
2010.415,473.51119514276
2010.497,485.706238711875
2010.582,355.143395790399
2010.667,337.494652597475
2010.749,358.589008096817
2010.834,371.504519137985
2010.916,363.099659831691
2011.001,361.357184304596
2011.086,349.768014435568
2011.163,374.687275590479
2011.248,430.881405972755
2011.330,372.506749219456
2011.415,422.800518814289
2011.497,413.118626905764
2011.582,399.395739634768
2011.667,390.820546778239
2011.749,441.52431867484
2011.834,400.961441309277
2011.916,337.383195143802
2012.001,364.853019378081
2012.086,392.403671958345
2012.165,435.767417929625
2012.250,378.506734711509
2012.332,384.079785357875
2012.416,399.729502102338
2012.498,453.575226289953
2012.583,451.904051201349
2012.668,418.837217527217
2012.750,425.711789882853
2012.834,413.405927886671
2012.916,410.559445679172
2013.001,395.753195369548
2013.086,394.250676944809
2013.163,414.006578445424
2013.248,410.911985728999
2013.330,468.485788052397
2013.415,472.54268100416
2013.497,451.533503492157
2013.582,455.000498878624
2013.667,444.167293940276
2013.749,410.911985728999
2013.834,423.381090606465
2013.916,441.379460686361
2014.001,443.712045431216
2014.086,475.638786865425
2014.163,454.972510193672
2014.248,441.877611001612
2014.330,443.257265406656
2014.415,464.928715251101
2014.497,450.192781465678
2014.582,422.480265086669
2014.667,453.984659232703
2014.749,453.259094772916
2014.834,453.277684747904
2014.916,492.731535986416
2015.001,469.696482326562
2015.086,468.341855950606
2015.163,501.860691945136
2015.248,473.51119514276
2015.330,463.20736737256
2015.415,472.117128446735
2015.497,435.946159236354
2015.582,438.726234683509
2015.667,442.639516397181
2015.749,424.466495660753
2015.834,415.227700153005
2015.916,384.040907833539
2016.001,392.300025161344
2016.086,360.680497062524
2016.165,364.612289665667
2016.250,365.532537416975
2016.332,367.610288215707
2016.416,362.961891028892
2016.498,365.415515653121
2016.583,355.79931682721
2016.668,353.367210492935
2016.750,344.801439566014
2016.834,332.982160554736
2016.916,327.655296478337
2017.001,324.136237258115
2017.086,316.529720166093
2017.163,306.598430927507
2017.248,315.701546287366
2017.330,323.809787959111
2017.415,315.90824542094
2017.497,327.950214678223
2017.582,342.392120630732
2017.667,358.631823113601
2017.749,333.027158870608
2017.834,316.594946601402
2017.916,314.59520480443
2018.001,312.704074376249
2018.086,343.903553511999
2018.163,327.573796442803
2018.248,307.870162001728
2018.330,311.783215269917
2018.415,303.081918663066
2018.497,305.29733055512
2018.582,305.280644527215
2018.667,304.232824842341
2018.749,300.961597380572
2018.834,307.036265324959
2018.916,306.48074723174
2019.001,308.997885017799
2019.086,304.764214188099
2019.163,301.56373349129
2019.248,295.301695252911
2019.330,313.070253523602
2019.415,301.216274073664
2019.497,301.612656530757
2019.582,304.02847961444
2019.667,296.858718606045
2019.749,294.267685440102
2019.834,255.906169235517
2019.916,293.133195994122
