Date,HRMS (day)
1981.265,112.347
1981.268,111.22
1981.270,111.024
1981.273,110.913
1981.276,111.536
1981.279,111.404
1981.281,110.884
1981.284,110.391
1981.287,110.139
1981.289,109.988
1981.292,110.828
1981.295,110.774
1981.298,110.674
1981.300,111.207
1981.303,110.428
1981.306,110.637
1981.309,111.019
1981.311,111.421
1981.314,111.973
1981.317,111.476
1981.320,110.802
1981.322,110.51
1981.325,111.007
1981.328,110.907
1981.330,109.873
1981.333,109.995
1981.336,110.42
1981.339,111.491
1981.341,111.513
1981.344,111.875
1981.347,112.2
1981.350,112.069
1981.352,111.947
1981.355,112.146
1981.358,110.462
1981.361,109.843
1981.363,109.356
1981.366,109.257
1981.369,109.272
1981.371,106.961
1981.374,107.267
1981.377,102.741
1981.380,103.731
1981.382,104.623
1981.385,106.725
1981.388,108.428
1981.391,108.936
1981.393,110.183
1981.396,111.151
1981.399,111.338
1981.402,111.949
1981.404,112.868
1981.407,113.777
1981.410,113.397
1981.413,112.934
1981.415,112.168
1981.418,112.095
1981.421,112.187
1981.424,112.881
1981.426,113.203
1981.429,113.405
1981.432,113.08
1981.435,112.217
1981.437,112.326
1981.440,112.473
1981.443,112.682
1981.446,112.832
1981.448,112.896
1981.451,113.214
1981.454,113.468
1981.456,113.34
1981.459,111.532
1981.462,111.617
1981.465,112.337
1981.467,112.718
1981.470,111.881
1981.473,111.855
1981.476,112.282
1981.478,112.609
1981.481,113.78
1981.484,113.737
1981.487,111.728
1981.489,111.453
1981.492,112.14
1981.495,111.028
1981.497,111.283
1981.500,112.095
1981.503,112.72
1981.506,113.191
1981.508,113.875
1981.511,114.62
1981.514,115.038
1981.517,115.021
1981.519,114.769
1981.522,114.575
1981.525,114.597
1981.528,114.745
1981.530,115.098
1981.533,114.889
1981.536,114.788
1981.538,114.633
1981.541,114.458
1981.544,114.625
1981.547,114.619
1981.549,114.512
1981.552,114.823
1981.555,114.998
1981.558,113.4
1981.560,112.057
1981.563,111.332
1981.566,108.201
1981.569,109.639
1981.571,111.249
1981.574,111.811
1981.577,112.823
1981.580,113.343
1981.582,114.149
1981.585,114.267
1981.588,113.575
1981.591,113.786
1981.593,113.737
1981.596,114.105
1981.599,114.616
1981.602,114.049
1981.604,114.361
1981.607,111.203
1981.610,110.116
1981.613,111.034
1981.615,111.584
1981.618,112.281
1981.621,112.819
1981.623,113.568
1981.626,113.516
1981.629,113.471
1981.632,113.859
1981.634,114.054
1981.637,114.86
1981.640,115.266
1981.643,114.937
