Date,MXCO (day)
1993.232,212.861
1993.235,213.148
1993.237,213.403
1993.240,214.504
1993.243,212.641
1993.246,212.423
1993.248,212.49
1993.251,212.763
1993.254,212.944
1993.257,213.158
1993.259,212.738
1993.262,212.437
1993.265,213.241
1993.268,214.241
1993.270,213.914
1993.273,213.716
1993.276,213.949
1993.279,214.997
1993.281,214.891
1993.284,216.002
1993.287,216.142
1993.289,216.87
1993.292,218.605
1993.295,217.708
1993.300,216.329
1993.303,215.739
1993.306,213.682
1993.309,213.165
1993.311,214.377
1993.314,215.021
1993.317,215.898
1993.320,216.043
1993.322,216.183
1993.325,215.331
1993.328,214.718
1993.330,214.918
1993.333,214.47
1993.336,215.454
1993.339,216.046
1993.341,215.918
1993.344,214.417
1993.347,216.322
1993.350,216.221
1993.352,215.255
1993.355,213.901
1993.358,213.603
1993.361,215.911
1993.363,215.833
1993.366,216.028
1993.369,217.925
1993.371,216.984
1993.374,216.8
1993.377,216.922
1993.380,215.775
1993.382,215.551
1993.385,215.341
1993.388,214.929
1993.391,214.604
1993.393,214.957
1993.396,214.837
1993.399,214.987
1993.402,215.015
1993.404,213.915
1993.407,213.459
1993.410,212.992
1993.413,216.145
1993.415,216.306
1993.418,215.542
1993.421,215.11
1993.424,213.839
1993.426,213.627
1993.429,214.05
1993.432,214.609
1993.435,215.703
1993.437,216.252
1993.440,215.873
1993.443,213.786
1993.446,213.665
1993.448,213.342
1993.451,213.647
1993.454,213.645
1993.456,213.252
1993.459,213.893
1993.462,214.497
1993.465,214.998
1993.467,215.171
1993.470,214.89
1993.473,215.227
1993.476,214.57
1993.478,212.786
1993.481,213.685
1993.484,212.977
1993.487,213.49
1993.489,215.301
1993.492,214.275
1993.497,212.819
1993.500,211.622
1993.503,212.47
1993.506,212.659
1993.508,213.246
1993.511,211.145
1993.514,212.211
1993.522,211.495
1993.525,213.146
1993.528,211.799
1993.530,211.942
1993.533,211.365
1993.536,211.426
1993.538,211.673
1993.541,212.123
1993.544,212.532
1993.547,214.345
1993.555,212.451
1993.563,215.95
1993.566,216.062
1993.569,216.409
1993.571,214.373
1993.574,214.215
1993.577,213.356
1993.580,213.306
1993.582,212.705
1993.585,213.29
1993.588,213.624
1993.591,212.92
1993.593,213.509
1993.596,213.0
1993.599,213.818
1993.604,213.606
1993.607,213.823
1993.610,214.005
1993.613,214.49
1993.615,215.013
1993.618,214.536
1993.621,213.907
1993.623,213.895
1993.626,212.653
1993.629,211.672
1993.632,212.474
1993.634,213.123
1993.637,213.883
1993.640,213.655
1993.643,214.951
1993.645,214.098
1993.648,213.165
1993.651,214.028
1993.654,214.425
1993.656,213.551
1993.659,213.927
1993.662,213.331
1993.665,212.542
1993.667,212.734
1993.670,213.07
1993.673,213.543
1993.676,212.76
1993.678,212.793
1993.681,213.808
1993.684,214.83
1993.687,214.028
1993.689,214.402
1993.692,214.726
1993.695,214.213
1993.698,214.517
1993.700,215.533
1993.703,215.076
1993.706,214.418
1993.708,216.102
1993.711,217.044
1993.714,217.304
1993.717,217.379
1993.719,218.091
1993.722,216.39
1993.725,215.323
1993.741,211.525
1993.744,211.913
1993.747,212.413
1993.749,212.823
1993.752,214.18
1993.755,212.942
1993.758,212.826
1993.760,213.39
1993.763,212.467
1993.766,212.756
1993.769,213.73
1993.771,212.77
1993.774,213.162
1993.777,213.508
1993.780,214.467
1993.782,215.576
1993.785,216.786
1993.788,217.251
1993.790,217.122
1993.793,217.642
1993.796,218.102
1993.799,218.823
1993.801,218.606
1993.804,217.222
1993.807,216.382
1993.810,214.676
1993.812,213.744
1993.815,212.903
1993.818,212.078
1993.821,213.09
1993.823,212.927
1993.826,213.918
1993.829,214.166
1993.832,215.075
1993.834,215.085
1993.837,215.482
1993.840,214.545
1993.843,213.001
1993.845,211.798
1993.848,212.711
1993.851,212.332
1993.854,213.426
1993.856,213.897
1993.859,215.144
1993.862,215.293
1993.865,217.034
1993.867,215.916
1993.870,215.877
1993.873,215.492
1993.875,215.999
1993.878,215.257
1993.881,216.436
1993.884,215.066
1993.886,215.284
1993.889,214.917
1993.892,214.697
1993.895,214.609
1993.897,214.535
1993.900,214.653
1993.903,214.43
1993.906,214.978
1993.908,215.252
1993.911,215.884
1993.914,216.187
1993.916,216.238
1993.919,215.594
1993.922,214.07
1993.925,212.441
1993.927,212.573
1993.930,212.947
1993.933,213.925
1993.936,213.158
1993.938,212.773
1993.941,213.31
1993.944,214.107
1993.947,214.944
1993.949,215.375
1993.952,216.081
1993.955,215.502
1993.979,213.68
1993.982,213.788
1993.985,213.675
1993.988,213.765
1993.990,214.176
1993.993,214.022
1993.996,214.248
1993.999,213.674
1994.001,180.75
1994.004,207.447
1994.007,212.938
1994.010,213.271
1994.012,214.265
1994.015,213.173
1994.018,212.56
1994.021,213.468
1994.023,213.856
1994.026,214.136
1994.029,213.923
1994.032,213.098
1994.034,213.281
1994.037,212.639
1994.040,211.318
1994.042,212.294
1994.045,182.136
1994.048,179.079
1994.051,202.791
1994.053,209.194
1994.056,188.332
1994.059,216.13
1994.062,215.32
1994.064,215.501
1994.067,214.932
1994.070,216.398
1994.073,215.692
1994.075,214.748
1994.078,214.522
1994.081,214.224
1994.084,214.608
1994.086,214.28
1994.089,214.366
1994.092,214.424
1994.095,215.108
1994.097,215.677
1994.100,212.007
1994.103,211.938
1994.106,213.32
1994.108,212.446
1994.111,212.194
1994.114,213.066
1994.117,213.844
1994.119,215.301
1994.122,215.865
1994.125,213.947
1994.127,214.29
1994.130,214.731
1994.133,216.122
1994.136,216.2
1994.138,216.139
1994.141,213.879
1994.144,213.846
1994.147,213.062
1994.149,212.943
1994.152,213.134
1994.155,212.767
1994.158,212.558
1994.160,212.929
1994.163,213.172
1994.166,213.048
1994.169,214.259
1994.172,214.009
1994.174,213.203
1994.177,212.401
1994.180,212.304
1994.183,212.774
1994.185,212.964
1994.188,213.087
1994.191,213.455
1994.194,213.802
1994.196,213.955
1994.199,214.228
1994.202,214.133
1994.204,214.478
1994.207,215.246
1994.210,215.598
1994.213,216.33
1994.215,215.963
1994.218,215.995
1994.221,215.172
1994.224,215.503
1994.226,214.76
1994.229,214.8
1994.232,214.533
1994.235,214.169
1994.237,213.121
1994.240,212.833
1994.243,213.026
1994.246,213.479
1994.248,213.233
1994.251,213.225
1994.254,212.792
1994.257,212.601
1994.259,212.81
1994.262,213.389
1994.265,213.111
1994.268,212.708
1994.270,213.054
1994.273,214.333
1994.276,214.782
1994.279,214.986
1994.281,214.626
1994.284,214.388
1994.287,213.773
1994.289,213.559
1994.292,207.931
1994.295,208.592
1994.298,209.279
1994.300,209.868
1994.303,210.352
1994.306,210.793
1994.309,211.276
1994.311,211.887
1994.314,211.932
1994.317,212.255
1994.320,212.41
1994.322,212.496
1994.325,212.546
1994.328,213.195
1994.330,214.049
1994.333,213.732
1994.336,213.396
1994.339,212.825
1994.341,212.663
1994.344,212.222
1994.347,212.902
1994.350,213.577
1994.352,213.748
1994.355,214.616
1994.358,214.464
1994.361,214.309
1994.363,214.563
1994.366,215.452
1994.369,214.634
1994.371,214.429
1994.374,213.948
1994.377,214.244
1994.380,214.813
1994.382,215.065
1994.385,214.55
1994.388,214.153
1994.391,212.98
1994.393,213.023
1994.396,212.63
1994.399,213.929
1994.402,214.63
1994.404,214.989
1994.407,214.643
1994.410,214.679
1994.413,214.389
1994.415,214.044
1994.418,213.723
1994.421,213.464
1994.424,213.287
1994.426,237.47
1994.429,212.679
1994.432,213.068
1994.435,213.639
1994.437,213.861
1994.440,214.487
1994.443,213.508
1994.446,213.461
1994.448,213.914
1994.451,214.36
1994.454,213.961
1994.456,214.913
1994.459,214.716
1994.462,213.973
1994.465,211.003
1994.467,210.555
1994.470,210.339
1994.473,211.203
1994.476,212.461
1994.478,213.284
1994.481,213.481
1994.484,214.053
1994.487,214.075
1994.489,213.478
1994.492,213.322
1994.495,212.934
1994.497,212.126
1994.500,212.371
1994.503,212.428
1994.506,212.579
1994.508,213.175
1994.511,214.454
1994.514,215.307
1994.517,215.146
1994.519,214.971
1994.522,214.768
1994.525,214.83
1994.528,215.325
1994.530,215.006
1994.533,214.668
1994.536,211.866
1994.538,212.134
1994.541,212.368
1994.544,211.933
1994.547,213.25
1994.549,214.036
1994.552,215.124
1994.555,214.671
1994.558,214.242
1994.560,214.036
1994.563,214.467
1994.566,214.548
1994.569,214.666
1994.571,213.871
1994.574,213.691
1994.577,212.742
1994.580,213.482
1994.582,213.343
1994.585,213.889
1994.588,214.16
1994.591,214.369
1994.593,215.358
1994.596,215.934
1994.599,215.48
1994.602,215.519
1994.604,215.207
1994.607,215.103
1994.610,213.434
1994.613,212.237
1994.615,212.981
1994.618,213.672
